herramienta,severidad,hallazgo,norma_iso,objetivo_cobit
Lynis,Media,DEB-0280|Install libpam-tmpdir to set $TMP and $TMPDIR for PAM sessions|-|-|,A.8.8,DSS05.04
Lynis,Media,DEB-0810|Install apt-listbugs to display a list of critical bugs prior to each APT installation.|-|-|,A.8.8,DSS05.04
Lynis,Media,DEB-0811|Install apt-listchanges to display any significant changes prior to any upgrade via APT.|-|-|,A.8.8,DSS05.04
Lynis,Media,"DEB-0831|Install needrestart, alternatively to debian-goodies, so that you can run needrestart after upgrades to determine which daemons are using old versions ",A.8.8,DSS05.04
Lynis,Media,DEB-0880|Install fail2ban to automatically ban hosts that commit multiple authentication errors.|-|-|,A.8.8,DSS05.04
Lynis,Media,BOOT-5180|Determine runlevel and services at startup|-|-|,A.8.8,DSS05.04
Lynis,Media,BOOT-5264|Consider hardening system services|Run '/usr/bin/systemd-analyze security SERVICE' for each service|-|,A.8.8,DSS05.04
Lynis,Media,KRNL-5788|Determine why /vmlinuz or /boot/vmlinuz is missing on this Debian/Ubuntu system.|/vmlinuz or /boot/vmlinuz|-|,A.8.8,DSS05.04
Lynis,Media,AUTH-9230|Configure password hashing rounds in /etc/login.defs|-|-|,A.8.8,DSS05.04
Lynis,Media,AUTH-9262|Install a PAM module for password strength testing like pam_cracklib or pam_passwdqc or libpam-passwdqc|-|-|,A.8.8,DSS05.04
Lynis,Media,AUTH-9286|Configure minimum password age in /etc/login.defs|-|-|,A.8.8,DSS05.04
Lynis,Media,AUTH-9286|Configure maximum password age in /etc/login.defs|-|-|,A.8.8,DSS05.04
Lynis,Media,"AUTH-9328|Default umask in /etc/login.defs could not be found and defaults usually to 022, which could be more strict like 027|-|-|",A.8.8,DSS05.04
Lynis,Media,"FILE-6310|To decrease the impact of a full /home file system, place /home on a separate partition|-|-|",A.8.8,DSS05.04
Lynis,Media,"FILE-6310|To decrease the impact of a full /var file system, place /var on a separate partition|-|-|",A.8.8,DSS05.04
Lynis,Media,"USB-1000|Disable drivers like USB storage when not used, to prevent unauthorized storage or data theft|-|-|",A.8.8,DSS05.04
Lynis,Media,PKGS-7370|Install debsums utility for the verification of packages with known good database.|-|-|,A.8.8,DSS05.04
Lynis,Alta,PKGS-7392|Found one or more vulnerable packages.|-|-|,A.8.8,DSS05.04
Lynis,Media,"PKGS-7392|Update your system with apt-get update, apt-get upgrade, apt-get dist-upgrade and/or unattended-upgrades|-|-|",A.8.8,DSS05.04
Lynis,Media,PKGS-7394|Install package apt-show-versions for patch management purposes|-|-|,A.8.8,DSS05.04
Lynis,Media,NETW-3200|Determine if protocol 'dccp' is really needed on this system|-|-|,A.8.8,DSS05.04
Lynis,Media,NETW-3200|Determine if protocol 'sctp' is really needed on this system|-|-|,A.8.8,DSS05.04
Lynis,Media,NETW-3200|Determine if protocol 'rds' is really needed on this system|-|-|,A.8.8,DSS05.04
Lynis,Media,NETW-3200|Determine if protocol 'tipc' is really needed on this system|-|-|,A.8.8,DSS05.04
Lynis,Media,FIRE-4513|Check iptables rules to see which rules are currently not used|-|-|,A.8.8,DSS05.04
Lynis,Media,LOGG-2154|Enable logging to an external logging host for archiving purposes and additional protection|-|-|,A.8.8,DSS05.04
Lynis,Media,"BANN-7126|Add a legal banner to /etc/issue, to warn unauthorized users|-|-|",A.8.8,DSS05.04
Lynis,Media,"BANN-7130|Add legal banner to /etc/issue.net, to warn unauthorized users|-|-|",A.8.8,DSS05.04
Lynis,Media,ACCT-9622|Enable process accounting|-|-|,A.8.8,DSS05.04
Lynis,Media,ACCT-9626|Enable sysstat to collect accounting (no results)|-|-|,A.8.8,DSS05.04
Lynis,Media,ACCT-9628|Enable auditd to collect audit information|-|-|,A.8.8,DSS05.04
Lynis,Media,MACF-6208|Check output of aa-status|/sys/kernel/security/apparmor/profiles|text:Run aa-status|,A.8.8,DSS05.04
Lynis,Media,FINT-4350|Install a file integrity tool to monitor changes to critical and sensitive files|-|-|,A.8.8,DSS05.04
Lynis,Media,TOOL-5002|Determine if automation tools are present for system management|-|-|,A.8.8,DSS05.04
Lynis,Media,FILE-7524|Consider restricting file permissions|See screen output or log file|text:Use chmod to change file permissions|,A.8.8,DSS05.04
Lynis,Media,KRNL-6000|One or more sysctl values differ from the scan profile and could be tweaked||Change sysctl value or disable test (skip-test=KRNL-6000:<sysctl-key>)|,A.8.8,DSS05.04
Lynis,Media,HRDN-7222|Harden compilers like restricting access to root user only|-|-|,A.8.8,DSS05.04
Lynis,Media,"HRDN-7230|Harden the system by installing at least one malware scanner, to perform periodic file system scans|-|Install a tool like rkhunter, chkrootkit, OSSEC,",A.8.8,DSS05.04
Docker Bench,Media,1.1 - Ensure a separate partition for containers has been created (Scored),A.8.8,DSS05.07
Docker Bench,Media,1.2 - Ensure the node is up to date (Not Scored),A.8.8,DSS05.07
Docker Bench,Media,2.1 - Ensure network traffic is restricted between containers on the default bridge (Scored),A.8.8,DSS05.07
Docker Bench,Media,2.11 - Ensure that authorization for Docker client commands is enabled (Scored),A.8.8,DSS05.07
Docker Bench,Media,4.1 - Ensure that a user for the container has been created (Scored),A.8.8,DSS05.07
Docker Bench,Media,4.6 - Ensure that HEALTHCHECK instructions have been added to container images (Scored),A.8.8,DSS05.07
Docker Bench,Media,5.31 - Ensure that the Docker socket is not mounted inside any containers (Scored),A.8.8,DSS05.07
Docker Bench,Media,1.1.3 - Ensure auditing is configured for the Docker daemon (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.4 - Ensure auditing is configured for Docker files and directories -/run/containerd (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.5 - Ensure auditing is configured for Docker files and directories - /var/lib/docker (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.6 - Ensure auditing is configured for Docker files and directories - /etc/docker (Automated),A.8.8,DSS05.07
Docker Bench,Media,1.1.7 - Ensure auditing is configured for Docker files and directories - docker.service (Automated),A.8.8,DSS05.07
